symbol,year,patent_count_dedup,invention_count_dedup,strict_ai_title_all_count,ai_compute_title_all_count,strict_ai_title_invention_count,ai_compute_title_invention_count
000157,2014.0,1,1,0,0,0,0
000157,2015.0,4,4,0,0,0,0
000157,2016.0,1,1,0,0,0,0
000157,2017.0,2,2,0,0,0,0
000157,2018.0,1,1,0,0,0,0
000157,2020.0,2,1,0,0,0,0
000157,2022.0,1,0,0,0,0,0
000158,2023.0,1,1,1,1,1,1
000158,2024.0,1,1,0,0,0,0
000301,2011.0,2,2,0,0,0,0
000301,2012.0,5,5,0,0,0,0
000333,2017.0,11,11,0,0,0,0
000333,2018.0,2,1,0,0,0,0
000333,2019.0,3,2,0,1,0,1
000333,2020.0,2,1,0,0,0,0
000333,2021.0,5,4,0,0,0,0
000333,2022.0,3,1,0,0,0,0
000403,2006.0,2,2,0,0,0,0
000403,2007.0,3,3,0,0,0,0
000403,2010.0,1,1,0,0,0,0
000403,2011.0,1,1,0,0,0,0
000403,2013.0,1,1,0,0,0,0
000403,2016.0,3,0,0,0,0,0
000408,2013.0,1,0,0,0,0,0
000408,2015.0,2,2,0,0,0,0
000408,2021.0,6,1,0,0,0,0
000408,2022.0,1,1,0,0,0,0
000408,2024.0,5,1,0,0,0,0
000408,2025.0,4,1,0,0,0,0
000409,2019.0,1,0,0,0,0,0
000409,2023.0,2,2,0,1,0,1
000413,2015.0,1,1,0,0,0,0
000413,2018.0,1,1,0,0,0,0
000425,2005.0,1,0,0,0,0,0
000425,2007.0,2,2,0,0,0,0
000425,2018.0,1,1,0,0,0,0
000425,2023.0,1,0,0,0,0,0
000503,2023.0,3,3,0,0,0,0
000503,2024.0,4,4,0,0,0,0
000504,2016.0,1,1,0,0,0,0
000504,2019.0,1,0,0,0,0,0
000504,2020.0,3,0,0,0,0,0
000504,2021.0,4,2,0,0,0,0
000504,2022.0,5,0,0,0,0,0
000505,2012.0,1,1,0,0,0,0
000514,2006.0,1,1,0,0,0,0
000518,2007.0,1,1,0,0,0,0
000519,2013.0,1,1,0,0,0,0
000521,2007.0,3,0,0,0,0,0
000521,2008.0,1,0,0,0,0,0
000521,2018.0,1,0,0,0,0,0
000521,2022.0,2,2,0,0,0,0
000523,2017.0,1,1,0,0,0,0
000525,1981.0,1,1,0,0,0,0
000525,2009.0,1,1,0,0,0,0
000525,2010.0,4,4,0,0,0,0
000525,2011.0,6,6,0,0,0,0
000525,2012.0,15,6,0,0,0,0
000525,2013.0,6,6,0,0,0,0
000525,2014.0,10,8,0,0,0,0
000525,2015.0,10,8,0,0,0,0
000525,2016.0,23,7,0,0,0,0
000525,2017.0,12,3,0,0,0,0
000525,2018.0,19,15,0,0,0,0
000525,2019.0,45,16,0,0,0,0
000525,2020.0,34,13,0,0,0,0
000525,2021.0,43,9,0,0,0,0
000525,2022.0,21,10,0,1,0,1
000525,2023.0,22,9,0,0,0,0
000525,2024.0,18,4,0,0,0,0
000525,2025.0,15,1,0,0,0,0
000528,2016.0,1,0,0,0,0,0
000528,2017.0,2,1,0,0,0,0
000532,2015.0,1,1,0,0,0,0
000532,2016.0,1,1,0,0,0,0
000534,2020.0,1,0,0,0,0,0
000534,2021.0,3,0,0,0,0,0
000534,2022.0,1,0,0,0,0,0
000534,2023.0,3,3,0,0,0,0
000538,2004.0,1,1,0,0,0,0
000538,2016.0,1,1,0,0,0,0
000544,2023.0,1,1,0,0,0,0
000545,2007.0,1,1,0,0,0,0
000545,2008.0,1,1,0,0,0,0
000545,2014.0,1,1,0,0,0,0
000545,2018.0,3,3,0,0,0,0
000545,2020.0,1,1,0,0,0,0
000545,2021.0,1,1,0,0,0,0
000545,2022.0,1,1,0,0,0,0
000545,2023.0,2,0,0,0,0,0
000545,2024.0,3,2,0,0,0,0
000551,2018.0,1,1,0,0,0,0
000551,2020.0,1,0,0,0,0,0
000552,2004.0,14,0,0,0,0,0
000555,2011.0,1,1,0,0,0,0
000555,2014.0,3,0,0,0,0,0
000555,2015.0,1,1,0,0,0,0
000559,2016.0,1,1,0,0,0,0
000559,2019.0,1,1,0,0,0,0
000568,2012.0,1,1,0,0,0,0
